X,Y,id,comuna,descripcio,direccion,fecha_even,hora_event,altura_agu,latitud,longitud,latitud_D,longitud_D,fecha_lev,Field11,fecha_le_1,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Field27,icon_url
-72.349779,-37.466271,"29",Los Angeles,L'Olleta,Tucapel 216,2023-06-05,5:00:00,"0","-37.466271","-72.349779",-37.46627100000,-72.34977900000,,,,,,,,,,,,,,,,,,,./0.png
-72.349779,-37.466271,"30",Los Angeles,L'Olleta,Tucapel 216,2016-07-24,12:00:00,"0","-37.466271","-72.349779",-37.46627100000,-72.34977900000,,,,,,,,,,,,,,,,,,,./0.png
-72.349779,-37.466271,"31",Los Angeles,L'Olleta,Tucapel 216,2018-05-28,12:00:00,"0","-37.466271","-72.349779",-37.46627100000,-72.34977900000,,,,,,,,,,,,,,,,,,,./0.png
-72.349258,-37.46621,"32",Los Angeles,Centro de Llamada Andreita,Tucapel 185,2023-06-05,5:00:00,"0","-37.46621","-72.349258",-37.46621000000,-72.34925800000,,,,,,,,,,,,,,,,,,,./0.png
-72.350166,-37.466198,"33",Los Angeles,Top Musical Local 17,Tucapel 297,2006-07-11,15:00:00,"0","-37.466198","-72.350166",-37.46619800000,-72.35016600000,,,,,,,,,,,,,,,,,,,./0.png
-72.350166,-37.466198,"34",Los Angeles,Top Musical Local 17,Tucapel 297,2016-07-24,12:00:00,"0","-37.466198","-72.350166",-37.46619800000,-72.35016600000,,,,,,,,,,,,,,,,,,,./0.png
-72.350166,-37.466198,"35",Los Angeles,Top Musical Local 17,Tucapel 297,2018-05-28,12:00:00,"0","-37.466198","-72.350166",-37.46619800000,-72.35016600000,,,,,,,,,,,,,,,,,,,./0.png
-72.350166,-37.466198,"36",Los Angeles,Top Musical Local 17,Tucapel 297,2023-06-05,5:00:00,"0","-37.466198","-72.350166",-37.46619800000,-72.35016600000,,,,,,,,,,,,,,,,,,,./0.png
-72.350603,-37.466365,"37",Los Angeles,Recarga Electronica,Colon 599,2006-07-11,15:00:00,"102","-37.466365","-72.350603",-37.46636500000,-72.35060300000,,,,,,,,,,,,,,,,,,,./0.png
-72.350603,-37.466365,"38",Los Angeles,Recarga Electronica,Colon 599,2023-06-05,5:00:00,"0","-37.466365","-72.350603",-37.46636500000,-72.35060300000,,,,,,,,,,,,,,,,,,,./0.png
-72.350603,-37.466365,"39",Los Angeles,Recarga Electronica,Colon 599,2018-05-28,12:00:00,"0","-37.466365","-72.350603",-37.46636500000,-72.35060300000,,,,,,,,,,,,,,,,,,,./0.png
-72.350603,-37.466365,"40",Los Angeles,Recarga Electronica,Colon 599,2016-07-24,12:00:00,"0","-37.466365","-72.350603",-37.46636500000,-72.35060300000,,,,,,,,,,,,,,,,,,,./0.png
-72.350743,-37.467317,"41",Los Angeles,Hush Puppies,Colon 515,2006-07-11,15:00:00,"100","-37.467317","-72.350743",-37.46731700000,-72.35074300000,,,,,,,,,,,,,,,,,,,./0.png
-72.350743,-37.467317,"42",Los Angeles,Hush Puppies,Colon 515,2016-07-24,12:00:00,"0","-37.467317","-72.350743",-37.46731700000,-72.35074300000,,,,,,,,,,,,,,,,,,,./0.png
-72.350743,-37.467317,"43",Los Angeles,Hush Puppies,Colon 515,2015-06-05,12:00:00,"0","-37.467317","-72.350743",-37.46731700000,-72.35074300000,,,,,,,,,,,,,,,,,,,./0.png
-72.350743,-37.467317,"44",Los Angeles,Hush Puppies,Colon 515,2023-06-05,5:00:00,"0","-37.467317","-72.350743",-37.46731700000,-72.35074300000,,,,,,,,,,,,,,,,,,,./0.png
-72.350743,-37.467317,"45",Los Angeles,Hush Puppies,Colon 515,2018-05-28,12:00:00,"0","-37.467317","-72.350743",-37.46731700000,-72.35074300000,,,,,,,,,,,,,,,,,,,./0.png
-72.349628,-37.467485,"46",Los Angeles,La Covadonga,Almagro 500,2006-07-11,15:00:00,"100","-37.467485","-72.349628",-37.46748500000,-72.34962800000,,,,,,,,,,,,,,,,,,,./0.png
-72.349628,-37.467485,"47",Los Angeles,La Covadonga,Almagro 500,2018-05-28,12:00:00,"20","-37.467485","-72.349628",-37.46748500000,-72.34962800000,,,,,,,,,,,,,,,,,,,./0.png
-72.348806,-37.467551,"48",Los Angeles,El Copihue,Rengo 145,2006-07-11,15:00:00,"130","-37.467551","-72.348806",-37.46755100000,-72.34880600000,,,,,,,,,,,,,,,,,,,./0.png
-72.348806,-37.467551,"49",Los Angeles,El Copihue,Rengo 145,2018-05-28,12:00:00,"20","-37.467551","-72.348806",-37.46755100000,-72.34880600000,,,,,,,,,,,,,,,,,,,./0.png
-72.348806,-37.467551,"50",Los Angeles,El Copihue,Rengo 145,2023-06-05,5:00:00,"0","-37.467551","-72.348806",-37.46755100000,-72.34880600000,,,,,,,,,,,,,,,,,,,./0.png
-72.3485252,-37.4691587,"51",Los Angeles,LA Sports,Colo-Colo 215,2006-07-11,15:00:00,"0","-37.4691587","-72.3485252",-37.46915870000,-72.34852520000,,,,,,,,,,,,,,,,,,,./0.png
-72.3487679,-37.4693482,"52",Los Angeles,El padrino,Colo-Colo 240-A,2006-07-11,15:00:00,"0","-37.4693482","-72.3487679",-37.46934820000,-72.34876790000,,,,,,,,,,,,,,,,,,,./0.png
-72.3494705,-37.4693146,"53",Los Angeles,NORFI,Colo-Colo 276,2006-07-11,15:00:00,"0","-37.4693146","-72.3494705",-37.46931460000,-72.34947050000,,,,,,,,,,,,,,,,,,,./0.png
-72.34923,-37.46886,"54",Los Angeles,Tienda de ropa Americana,Almagro 437,2006-07-11,15:00:00,"0","-37.46886","-72.34923",-37.46886000000,-72.34923000000,,,,,,,,,,,,,,,,,,,./0.png
-72.3492,-37.4685599,"55",Los Angeles,Ferreteria El Martillo,Almagro 449,2006-07-11,10:00:00,"115","-37.4685599","-72.3492",-37.46855990000,-72.34920000000,,,,,,,,,,,,,,,,,,,./0.png
-72.3492883,-37.4679226,"56",Los Angeles,Galeria Pumahue,Almagro 489,2006-07-11,15:00:00,"126","-37.4679226","-72.3492883",-37.46792260000,-72.34928830000,,,,,,,,,,,,,,,,,,,./0.png
-72.348509,-37.4677032,"57",Los Angeles,Pets Rengo,Rengo 110,2006-07-11,15:00:00,"151","-37.4677032","-72.348509",-37.46770320000,-72.34850900000,,,,,,,,,,,,,,,,,,,./0.png
-72.3481213,-37.4679213,"58",Los Angeles,Ferreteria Villagran,Villagran 499,2006-07-11,15:00:00,"90","-37.4679213","-72.3481213",-37.46792130000,-72.34812130000,,,,,,,,,,,,,,,,,,,./0.png
-72.3481179,-37.4690396,"59",Los Angeles,Importadora Style Americana,Villagran 425,2006-07-11,15:00:00,"0","-37.4690396","-72.3481179",-37.46903960000,-72.34811790000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,"0",,,,,,"0",,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,./0.png
